iter	RMSE
0	0.3941517348
1	0.3871833599
2	0.3811758663
3	0.3755383424
4	0.3696128845
5	0.3651076332
6	0.3593192882
7	0.3547250169
8	0.3506525097
9	0.3465342629
10	0.3418936769
11	0.3377749508
12	0.3334585887
13	0.3292602777
14	0.3267419478
15	0.3241781641
16	0.3218489065
17	0.3191042985
18	0.3164014878
19	0.3143449329
20	0.3122211643
21	0.3102955603
22	0.3082008543
23	0.3066186942
24	0.3044802351
25	0.3028231918
26	0.3015442468
27	0.3000150955
28	0.2982181471
29	0.2968736643
30	0.2960186682
31	0.2941477514
32	0.2930145331
33	0.292172173
34	0.2903288721
35	0.2893521629
36	0.288406801
37	0.2875061778
38	0.286295359
39	0.2848557542
40	0.2836632927
41	0.2828358347
42	0.2820233678
43	0.2812748833
44	0.2803952771
45	0.2792349755
46	0.2784373936
47	0.2778715392
48	0.2766075512
49	0.2763221897
50	0.2755597785
51	0.2749102989
52	0.2742171216
53	0.2737448757
54	0.2728415878
55	0.2722992663
56	0.2715171562
57	0.270474461
58	0.269399679
59	0.2687739339
60	0.268179863
61	0.2669881092
62	0.2663542314
63	0.2657565285
64	0.2653382018
65	0.2646202772
66	0.2639257375
67	0.2635147613
68	0.2631675526
69	0.2624913689
70	0.2615663992
71	0.2612807445
72	0.2606933244
73	0.2600166638
74	0.2591117595
75	0.2579326852
76	0.2571807481
77	0.2565030282
78	0.2559533715
79	0.2552275572
80	0.2551192854
81	0.2541869763
82	0.2539663301
83	0.2538704297
84	0.2533170171
85	0.2528400527
86	0.2524496124
87	0.2519846379
88	0.2514781544
89	0.2508365845
90	0.2502889963
91	0.2500757011
92	0.2493240502
93	0.2493231796
94	0.2488326677
95	0.2482813754
96	0.2478863729
97	0.2472003863
98	0.2461763052
99	0.2457163518
100	0.2452111687
101	0.2445898189
102	0.24451792
103	0.2444754271
104	0.2441101057
105	0.2434144091
106	0.2430621584
107	0.2426691776
108	0.2416479276
109	0.2413234807
110	0.2411412572
111	0.2400458384
112	0.239356261
113	0.2389976288
114	0.2388324456
115	0.2379994909
116	0.2378322507
117	0.237594022
118	0.2369042193
119	0.2364984085
120	0.2360298519
121	0.2353831698
122	0.2353519528
123	0.2350618458
124	0.2345872723
125	0.2344071965
126	0.2340650279
127	0.233578143
128	0.2333268854
129	0.2331233178
130	0.2323011194
131	0.2316865074
132	0.2313097265
133	0.2308279961
134	0.2301165776
135	0.2297112975
136	0.2290831113
137	0.2283361422
138	0.2281476267
139	0.2277253667
140	0.2273492756
141	0.226942379
142	0.2267379239
143	0.2265123607
144	0.225910791
145	0.2254306438
146	0.2251330625
147	0.2244420002
148	0.2242670413
149	0.2238179447
150	0.2232901016
151	0.222407722
152	0.2222334515
153	0.221547725
154	0.221524547
155	0.221261898
156	0.2207459106
157	0.2205454847
158	0.2202080573
159	0.2199663806
160	0.2195398033
161	0.2191305425
162	0.2189751736
163	0.2186473577
164	0.2182002928
165	0.2173055828
166	0.2163870746
167	0.2159739481
168	0.2158284759
169	0.2157969886
170	0.2156485633
171	0.2150218356
172	0.2147088316
173	0.2143331555
174	0.2135501096
175	0.2130477892
176	0.2127194533
177	0.2126227698
178	0.2119778732
179	0.2115823759
180	0.2110038067
181	0.2108123997
182	0.2106926185
183	0.2105066493
184	0.2101404847
185	0.2092808465
186	0.2087927846
187	0.2086878163
188	0.2086241179
189	0.2085915123
190	0.2084868574
191	0.207978627
192	0.2079387282
193	0.2074353197
194	0.2070612426
195	0.2066028068
196	0.2065728999
197	0.2062124099
198	0.2051862486
199	0.2049489381
200	0.204753355
201	0.2045519396
202	0.2044767678
203	0.2039490487
204	0.2033887302
205	0.2032989802
206	0.2027668721
207	0.2027401514
208	0.2026646001
209	0.2024744461
210	0.202105954
211	0.2014621963
212	0.2013507908
213	0.201210372
214	0.201123573
215	0.2003330185
216	0.1994501291
217	0.1989602258
218	0.1988815524
219	0.1985808181
220	0.1979605525
221	0.1968600481
222	0.1965385351
223	0.1963866043
224	0.1955626427
225	0.1954390274
226	0.1946249493
227	0.1939398575
228	0.1934870229
229	0.1933757603
230	0.1933074784
231	0.1924081186
232	0.1919010221
233	0.1910771495
234	0.1906140683
235	0.1900550805
236	0.1895943267
237	0.1895112252
238	0.1888647673
239	0.1887243866
240	0.1886023449
241	0.1883574499
242	0.1879648935
243	0.1872123299
244	0.187117277
