iter	Passed	Remaining
0	49	148164
1	58	88248
2	63	63697
3	67	50849
4	72	43675
5	77	38662
6	81	34946
7	85	32078
8	90	29967
9	94	28321
10	99	27132
11	108	27061
12	119	27470
13	141	30083
14	157	31404
15	171	32038
16	183	32205
17	192	31824
18	206	32322
19	211	31565
20	216	30653
21	219	29778
22	225	29204
23	227	28216
24	235	28000
25	243	27845
26	247	27303
27	252	26801
28	256	26299
29	260	25822
30	262	25110
31	266	24690
32	270	24332
33	275	24076
34	279	23715
35	284	23402
36	290	23298
37	295	23016
38	299	22720
39	303	22448
40	310	22382
41	315	22251
42	321	22086
43	326	21913
44	330	21699
45	334	21483
46	338	21283
47	343	21107
48	347	20910
49	348	20532
50	352	20373
51	356	20215
52	361	20073
53	365	19922
54	369	19786
55	373	19656
56	381	19673
57	385	19569
58	389	19428
59	394	19308
60	398	19197
61	403	19113
62	407	18981
63	411	18883
64	416	18784
65	421	18717
66	425	18624
67	429	18532
68	433	18432
69	438	18339
70	443	18285
71	453	18457
72	458	18367
73	462	18274
74	466	18188
75	470	18098
76	479	18192
77	484	18151
78	490	18131
79	494	18052
80	498	17967
81	502	17887
82	506	17815
83	507	17631
84	512	17567
85	516	17501
86	520	17435
87	524	17362
88	528	17295
89	532	17228
90	536	17159
91	541	17100
92	544	17034
93	545	16867
94	549	16805
95	553	16756
96	560	16778
97	564	16729
98	571	16745
99	577	16751
100	583	16743
101	587	16692
102	593	16684
103	594	16549
104	598	16499
105	602	16457
106	607	16415
107	611	16369
108	615	16322
109	619	16279
110	623	16234
111	627	16191
112	632	16148
113	636	16113
114	640	16072
115	644	16031
116	649	15994
117	654	15982
118	661	16015
119	667	16011
120	672	15992
121	676	15948
122	677	15842
123	681	15813
124	685	15775
125	690	15743
126	694	15710
127	698	15670
128	702	15633
129	706	15597
130	710	15563
131	714	15530
132	719	15502
133	723	15467
134	727	15433
135	731	15406
136	735	15378
137	740	15348
138	748	15414
139	753	15392
140	757	15357
141	762	15337
142	766	15316
143	770	15285
144	775	15261
145	779	15232
146	783	15207
147	787	15175
148	792	15155
149	795	15123
150	800	15094
151	804	15065
152	808	15048
153	812	15020
154	817	14999
155	821	14977
156	825	14945
157	829	14917
158	833	14893
159	837	14872
160	842	14850
161	846	14831
162	850	14807
163	854	14784
164	858	14757
165	863	14734
166	867	14714
167	871	14694
168	876	14675
169	880	14650
170	884	14632
171	888	14608
172	894	14609
173	898	14585
174	901	14559
175	906	14540
176	910	14516
177	914	14497
178	918	14473
179	922	14450
180	926	14426
181	930	14409
182	935	14394
183	939	14373
184	943	14354
185	947	14331
186	951	14309
187	955	14292
188	959	14273
189	963	14250
190	967	14229
191	971	14214
192	976	14195
193	980	14178
194	984	14163
195	988	14145
196	992	14124
197	996	14104
198	1000	14084
199	1004	14067
200	1009	14051
201	1013	14034
202	1018	14038
203	1023	14026
204	1027	14008
205	1031	13994
206	1037	13994
207	1041	13977
208	1045	13960
209	1049	13947
210	1054	13932
211	1059	13931
212	1063	13918
213	1068	13904
214	1073	13900
215	1077	13884
216	1081	13865
217	1085	13852
218	1089	13839
219	1094	13824
220	1102	13867
221	1106	13850
222	1111	13838
223	1115	13827
224	1119	13811
225	1124	13796
226	1128	13788
227	1133	13782
228	1137	13765
229	1141	13748
230	1146	13738
231	1150	13721
232	1154	13706
233	1158	13694
234	1163	13688
235	1167	13671
236	1172	13671
237	1177	13659
238	1181	13646
239	1185	13632
240	1189	13621
241	1200	13684
242	1210	13728
243	1220	13786
244	1227	13805
